lot_id,batch_date,equipment_id,process_recipe,product_type,num_wafers,yield_percent,final_status,notes
LOT_2401_001,2024-01-08,EQPM_A,Recipe_3nm_V2.1,PROCESSOR_X,25,94.2,PASS,Routine production
LOT_2401_002,2024-01-09,EQPM_B,Recipe_3nm_V2.1,PROCESSOR_X,25,87.5,WARNING,Slight yield reduction - investigate
LOT_2401_003,2024-01-10,EQPM_A,Recipe_3nm_V2.1,PROCESSOR_X,25,92.8,PASS,Normal
LOT_2401_004,2024-01-11,EQPM_C,Recipe_5nm_V1.8,MEMORY_Y,25,89.3,PASS,Routine
LOT_2401_005,2024-01-12,EQPM_B,Recipe_3nm_V2.1,PROCESSOR_X,25,64.2,FAIL,Critical yield loss - root cause unknown
LOT_2401_006,2024-01-13,EQPM_A,Recipe_5nm_V1.8,MEMORY_Y,25,91.1,PASS,Normal
LOT_2401_007,2024-01-14,EQPM_C,Recipe_3nm_V2.1,PROCESSOR_X,25,85.0,WARNING,Parameter drift detected
LOT_2401_008,2024-01-15,EQPM_A,Recipe_5nm_V1.8,MEMORY_Y,25,93.4,PASS,Routine production
LOT_2401_009,2024-01-16,EQPM_B,Recipe_5nm_V1.8,MEMORY_Y,25,71.5,FAIL,Major defect clustering at wafer edge
LOT_2401_010,2024-01-17,EQPM_C,Recipe_3nm_V2.1,PROCESSOR_X,25,94.6,PASS,Excellent yield
LOT_2401_011,2024-01-18,EQPM_A,Recipe_3nm_V2.1,PROCESSOR_X,25,88.2,PASS,Within spec
LOT_2401_012,2024-01-19,EQPM_B,Recipe_5nm_V1.8,MEMORY_Y,25,63.8,FAIL,Correlated with LOT_2401_009 - same equipment/recipe
LOT_2401_013,2024-01-20,EQPM_C,Recipe_5nm_V1.8,MEMORY_Y,25,92.7,PASS,Normal
LOT_2401_014,2024-01-21,EQPM_A,Recipe_3nm_V2.1,PROCESSOR_X,25,86.9,PASS,Within tolerance
LOT_2401_015,2024-01-22,EQPM_B,Recipe_3nm_V2.1,PROCESSOR_X,25,75.4,WARNING,Recurring pattern - EQPM_B degradation?
LOT_2401_016,2024-01-23,EQPM_C,Recipe_3nm_V2.1,PROCESSOR_X,25,95.0,PASS,Best performing lot this week
LOT_2401_017,2024-01-24,EQPM_A,Recipe_5nm_V1.8,MEMORY_Y,25,90.2,PASS,Routine
LOT_2401_018,2024-01-25,EQPM_B,Recipe_5nm_V1.8,MEMORY_Y,25,68.3,FAIL,Third major failure on EQPM_B - urgent maintenance needed
LOT_2401_019,2024-01-26,EQPM_C,Recipe_5nm_V1.8,MEMORY_Y,25,94.1,PASS,EQPM_C performing consistently
LOT_2401_020,2024-01-27,EQPM_A,Recipe_3nm_V2.1,PROCESSOR_X,25,91.5,PASS,Normal
LOT_2402_001,2024-02-01,EQPM_A_AFTER_MAINT,Recipe_3nm_V2.2,PROCESSOR_X,25,93.8,PASS,New recipe version - improved
LOT_2402_002,2024-02-02,EQPM_B_AFTER_MAINT,Recipe_3nm_V2.2,PROCESSOR_X,25,91.2,PASS,EQPM_B recovered after maintenance
LOT_2402_003,2024-02-03,EQPM_C,Recipe_3nm_V2.2,PROCESSOR_X,25,94.5,PASS,Consistent performance
LOT_2402_004,2024-02-04,EQPM_A_AFTER_MAINT,Recipe_5nm_V1.9,MEMORY_Y,25,89.6,PASS,Updated recipe showing promise
LOT_2402_005,2024-02-05,EQPM_B_AFTER_MAINT,Recipe_5nm_V1.9,MEMORY_Y,25,90.8,PASS,Stable operation
LOT_2402_006,2024-02-06,EQPM_C,Recipe_5nm_V1.9,MEMORY_Y,25,92.3,PASS,Routine
LOT_2402_007,2024-02-07,EQPM_A_AFTER_MAINT,Recipe_3nm_V2.2,PROCESSOR_X,25,88.5,PASS,Stable
LOT_2402_008,2024-02-08,EQPM_B_AFTER_MAINT,Recipe_3nm_V2.2,PROCESSOR_X,25,87.3,PASS,Normal
LOT_2402_009,2024-02-09,EQPM_C,Recipe_3nm_V2.2,PROCESSOR_X,25,95.2,PASS,Excellent
LOT_2402_010,2024-02-10,EQPM_A_AFTER_MAINT,Recipe_5nm_V1.9,MEMORY_Y,25,91.4,PASS,Routine
